ime,datum 
Erik Guay,05.08.1981
Jae Hyuk Park,03.06.1963
Zhaoxiao Xu,30.03.1965
Herbert Hinderlang,18.12.1940
Yvonne Daldossi 1,26.01.1992
Joseph Galanes,03.06.1965
John Spotswood,26.08.1960
Nina Statkevich,16.02.1944
Ivan Penev,20.01.1950
Gerhard Gehring,10.04.1954
Fritzi Burger,06.06.1910
Janez Maric,10.08.1975
Brock Miron,09.07.1980
Bryan Carbis,23.04.1961
Kim Meylemans 1,07.03.1996
Pavel Chupa,20.09.1994
Tauno Kayhko,06.05.1950
Betsy Snite,20.12.1938
Bernard Orcel,02.04.1945
Andrea Henkel,10.12.1977
Sotoo Okushiba,29.11.1945
Maria Bedareva,03.03.1992
Tomass Dukurs,02.07.1981
Sun Yu Jin,17.12.1988
Scott Gow,06.11.1990
Anke Jannie Landman,08.10.1974
Samuel Schwarz,22.08.1983
Sara Pellegrini,05.05.1986
Magnus Hovdal Moan,26.08.1983
Catharina Lindgren,10.05.1963
Paul Gibbins,03.01.1958
Rick Mewborn,28.03.1965
Hernan Carazo,
Constanze Zeitz,18.01.1964
Amanda Overland,30.08.1981
Sylvia Filipsson,22.05.1953
Michael Mair 1,13.02.1962
Anisette Torp,20.05.1971
Christine Haigler,05.01.1948
Francis Mougel,07.05.1960
Marcus Halliday,15.07.1937
Gianfranco Martin,15.02.1970
Bjorn Olsen,08.04.1946
Hjalmar Bergstrom,19.01.1907
Bozo Jemc,10.03.1940
Zsuzsanna Bekecs,17.05.1976
Virginia Baxter,03.12.1932
Bernhard Gruber,12.08.1982
Edgars Grusitis,14.03.1912
Dan Westover,10.03.1974
Eva Pawlik,04.10.1927
Kristen Skjeldal,27.05.1967
Michal Sima,28.04.1992
Yuri Ivanov 1,09.07.1952
Gerardo Mussner,05.10.1943
Ana Kobal,11.11.1983
Nicole Fessel,19.03.1983
Nicola Thost,03.05.1977
Nina Reithmayer,08.06.1984
Jane Vincent,23.08.1966
Kentaro Tsuruoka,26.08.1974
Gyong Ok Li,15.08.1975
Emil Zogravski,11.07.1964
Theresa Blanchard,21.08.1893
Inger Bjornbakken,28.12.1933
Pavel Korostelev,25.11.1978
Virgil Brenci,02.01.1947
Jonas Devouassoux,23.10.1989
Zdenek Vitek,25.07.1977
Marc Berthod,24.11.1983
Angela Kordez,22.05.1926
Stephane Michon,31.08.1974
Patricija Eiduka,01.02.2000
Zin Kook Kim,01.03.1940
Arturs Darznieks,20.04.1993
Robert Winkler,24.01.1991
Sebastian Colloredo,09.09.1987
Axel Mederic,29.05.1970
Karen Kah,17.05.1960
Karin Enke,20.06.1961
Robert Mcintyre,10.03.1956
Petra Wenzel,20.11.1961
Felicity Field,04.03.1946
Joergen Graabak,26.04.1991
Mark Kirchner,04.04.1970
Michael Forslund,22.07.1986
Jeff Greenwood,15.05.1975
Laszlo Hidveghy,09.11.1911
Sepp Rogger,19.08.1915
Ania Monica Caill,24.10.1995
Emi Watanabe,27.08.1959
Michael Von Gruenigen,11.04.1969
Rintje Ritsma,13.04.1970
Alina Gridneva,02.03.1992
Emmy Putzinger,08.02.1921
Tim Hug,11.08.1987
Wancheng Shi,13.08.1990
Philip Brown,09.11.1991
Anthony Howard,18.05.1958
Anton Kogler,02.05.1939
Anzela Brice,21.03.1970
Xiangrui Kong,18.01.2001
Helga Dudzinski,04.06.1929
Nikolay Shamov,22.08.1936
Volger Andersson,19.01.1896
Christian Wenger,13.01.1925
Jennifer Robinson,02.12.1976
Rudolf Burkert,31.10.1904
Jenny Jones,03.07.1980
Denis Spitsov,16.08.1996
Janos Spisak,23.09.1961
David Morris,31.08.1984
Richard Bott,30.05.1900
Bjorn Dyrdahl,28.04.1944
Anna Slipenko,22.11.1973
Franz Kalin,24.02.1939
Mara Zini,26.10.1979
Bingqiang Mao,19.07.2001
Ann Melander,18.06.1961
Filip Trejbal,05.01.1985
Krasimir Anev,16.06.1987
Natalia Ryzhenkova,07.07.1972
Lara Wolf,23.03.2000
Muhammad Abbas,16.02.1986
Rinnat Safin,29.08.1940
Magnar Freimuth,20.03.1973
Spyridon Theodorou,25.06.1952
Alistair Guss,10.06.1965
Fumio Nagakubo,23.02.1937
Gunter Anderl,11.01.1947
Miroslav Kopal,17.01.1963
Marion Posch,02.11.1972
Laure Barthelemy,05.08.1988
Maciej Kot,09.06.1991
Olaf Hoffsbakken,02.09.1908
Stefano Anzi,21.05.1949
Marius Ene,02.10.1972
Patrizia Bassis,18.03.1973
Dashjavin Namsrai,11.01.1949
Arnt Erik Dale,19.06.1960
Shuhai Lu,20.07.1966
Selina Joerg,24.01.1988
Sten Stensen,18.12.1947
Frantisek Jez,16.12.1970
Denise Biellmann,11.12.1962
Roar Ljokelsoy,31.05.1976
Blaise Giezendanner,29.11.1991
Alexey Romashov,29.04.1992
Mariano Puricelli,25.02.1974
Aldo Stella,28.01.1943
Denis Volotka,10.10.1985
Hilde Synnove Lid,18.03.1971
Terje Andersen,04.03.1952
Dmytro Prosvirnin,07.01.1967
Ville Paumola,16.03.1991
Hiromi Yamamoto,21.04.1970
Jamie Anderson,13.09.1990
Vreni Inabnit,31.03.1948
Celine Brun Lie,18.03.1988
Michael Tyllesen,27.08.1973
Trude Klecker,07.02.1926
Nadiya Mokhnatska,18.10.1995
Alexander Hall 1,21.09.1998
Rudi Jeklic,05.11.1965
Francois Pache,01.06.1932
Jouko Jokinen,30.11.1936
Valentina Marchei,23.05.1986
Vera Smith,21.05.1932
Mihai Radulescu,24.07.1962
Lydia Barbieri,01.01.1945
Lindsay Alcock,06.10.1977
Douglas Peterson,11.05.1952
Christian Hauswirth,23.12.1965
George Hill,24.04.1907
Yukinori Miyabe,18.07.1968
Aivo Udras,15.03.1970
Jukka Kuvaja,04.11.1953
Juris Vovcoks,16.01.1972
Evelyne Leu,07.07.1976
Manuela Berchtold,27.05.1977
Igor Laikert,27.02.1991
David Cargill,15.04.1957
Achim Vogt,07.12.1970
Rainer Salzgeber,26.04.1967
Jacob Soderqvist,04.05.1976
Oyvind Tveter,28.03.1954
Sylwia Jaskowiec,01.03.1986
Didier Lamont,13.08.1956
Takahiro Nozaki,19.11.1974
Irene Molitor,30.11.1926
Urban Hettich,02.03.1953
Wenbin Song,04.11.1963
Vadim Shakshakbayev,15.05.1968
Philippe Pelissier,30.11.1947
Mihaela Purdea,17.12.1982
Jan Bos,29.03.1975
Dorcas Wonsavage,03.02.1965
Paul Frommelt,09.08.1957
Chiharu Igaya,20.05.1931
Agnese Aboltina,07.02.1996
Marco Felder,03.12.1974
Mario Seidl,08.12.1992
Luis Carrasco 1,02.10.1963
Gabriela Suvova,08.02.1972
Yolande Jobin,30.05.1930
Yali Liu,26.08.1968
Anna Gasser,16.08.1991
Myong Ja Kim,10.03.1955
James Denney,10.06.1957
Werner Heel,23.03.1982
Maryna Antsybor,10.10.1987
Kimihiro Hamaya,21.03.1963
Pamela Behr,21.09.1956
Sami Pietila,20.03.1975
Renee Clerc,28.01.1927
Evan Lysacek,04.06.1985
Sadie Bjornsen,21.11.1989
Thomas Foley,09.11.1979
Petter Jr Northug,06.01.1986
John Rigby 1,25.04.1942
Maria Walliser,27.05.1963
Susann Kuhfittig,01.09.1965
Stefan Lindemann,30.09.1980
Maxim Tchoudov,12.11.1982
Anne Abernathy,12.04.1953
Gongory Merei,31.07.1969
Valery Kobelev,04.03.1973
Alexandre Schalamanov,04.09.1941
Janko Jansa,
Sandrine Aubert,06.10.1982
Yvon Mougel,25.05.1955
Kerstin Moring,26.09.1963
Kim Alletson,30.06.1958
Lucia Recchia,08.01.1980
Lee Steve Jackson,20.04.1980
Anna Shevchenko,04.08.1993
Trevor White,27.04.1984
Grete Ingeborg Nykkelmo,25.12.1961
Anne Berge,31.01.1966
Stephan Lauener,
Ingeborg Solar,21.12.1926
Eriko Sanmiya,19.09.1974
Patrick Bussler,01.06.1984
Jinya Nishikata,04.12.1968
Susy Wirz,30.11.1931
Lyndon Sheehan,16.07.1988
Gilberto Viadana,09.02.1973
Hamit Sare 1,19.02.1982
Torgny Mogren,26.07.1963
Jiri Svub,12.09.1958
Gene Morgan,16.09.1944
Kim Layton,26.11.1942
Frode Ronning,07.07.1959
Elizabeth Fisher,
Palmer Taylor,13.09.1992
Daniel Tyrkas,16.06.1975
Ales Razym,19.08.1986
Mirco Bertolina,11.05.1991
Michail Kletcherov,03.12.1982
Naomine Iwaya,12.10.1960
Livia Pelin,29.01.1966
Dainis Bremze,22.07.1954
Kyle Heikkila,12.12.1971
Torbjorn Lokken,28.06.1963
Marco Buchel,04.11.1971
Else Ragni Yttredal,08.08.1968
Ioan Valeriu Achiriloaie,20.08.1990
Janet Jonsson,20.07.1977
Jean Philippe Roy,18.02.1979
Judy Rabinowitz,09.04.1958
Ulf Ekstrand,21.09.1957
Larisa Kurkina,18.12.1973
Elena Vodorezova,21.05.1963
Veini Kontinen,12.02.1928
Priit Viks,07.01.1982
Junhwan Cha,21.10.2001
Keith Schellenberg,13.03.1929
Matthias Mayer,09.06.1990
Aihua Xing,04.02.1978
Paul Arne Skajem,01.12.1958
Sergey Priz,22.07.1970
Helio Freitas,23.10.1969
Casper Dyrbye Naested,19.06.1996
Stanley Hayer 1,19.07.1973
Michael D Teruel,01.02.1970
Kurumi Imai,24.09.1999
Wilfred O Reilly,22.08.1964
Maggie Voisin,14.12.1998
Linda Carbonetto,12.04.1949
James Woods,19.01.1992
Hiroshi Tadano,29.01.1914
Jenny Wolf,31.01.1979
Akos Elefky,02.04.1923
Breezy Johnson,19.01.1996
Dan Cristea,02.02.1949
Karl August Tiirmaa,07.07.1989
Chengjiang Li,28.04.1979
Ryoko Takahashi,29.08.1973
Benjamin Donnelly,22.08.1996
Arild Holm,11.12.1942
Nathalie Von Siebenthal,30.09.1993
Peter Adeberg,23.05.1968
Luciano Del Cacho,18.09.1947
Ann Elen Skjelbreid,13.09.1971
Fritz Strobl,24.08.1972
Morgan Goeransson,24.11.1972
Ruedi Uster,04.09.1941
Michel Vion,22.10.1959
Chris Shelley,22.06.1963
Baiba Bendika,27.06.1991
Annette Sikveland,25.04.1972
Zoe Gillings,14.06.1985
Martina Valcepina,04.06.1992
Xuesong Li,21.12.1979
Jan Ottosson,10.03.1960
Kyle Wieche,30.07.1967
Hansuli Kreuzer,20.04.1950
Dieter Meinel,28.12.1949
Trifun Zivanovic 1,17.04.1975
Tadeusz Radwan,27.06.1945
Heiko Fischer,25.02.1960
Fabrice Piazzini,09.11.1965
Christophe Schmidt,15.06.1983
Francois Simond,27.09.1969
Mikhail Priakhin,30.11.1934
Arvis Liepins,18.03.1990
Ondrej Nepela,22.01.1951
Josef Walcher,08.12.1954
Olga Nazarova,27.08.1977
Corina Mariana Dragan,15.12.1971
Rupert Staudinger,15.07.1997
Yohan Goncalves Goutt,20.12.1994
Laszlo Geller,05.08.1944
Ekaterina Dafovska,28.11.1975
Dianne Holum,19.05.1951
Zbynek Panek,04.09.1972
Andree Joly,16.09.1901
Edward Williams 1,26.07.1942
Roman Derezinski,30.12.1951
Petter Andersen,02.01.1974
Helena Macher,17.10.1937
Isabell Ost,21.10.1988
Kristinn Bjornsson,26.05.1972
Beth Madsen,12.03.1964
Jianrou Li,15.08.1986
Aki Karvonen,31.08.1957
Kaisa Makarainen,11.01.1983
Markus Ganahl,12.02.1975
Guy Perillat,24.02.1940
Luiza Zlotkowska,25.05.1986
Ion Cavasi,05.11.1953
Albert Walder,09.11.1957
Stanislaw Gasienica Daniel,
Patrick Koller,16.10.1983
Emina Malagich,29.08.1995
Michele Jacot,05.01.1952
Andrea Zemanova,17.01.1993
Kang Seok Lee,28.02.1985
Kuno Werner,10.05.1925
Milan Kucera,18.06.1974
Pierantonio Clementi,04.09.1947
Inger Lise Hegge,06.01.1965
Giovanni Kasebacher,13.12.1910
Martina Halinarova,22.04.1973
Thomas Sykora,18.05.1968
Jae Eun Oh,15.05.1983
Maria Riesch,24.11.1984
Natalia Licitsa,29.05.1961
Stanislav Kravchuk,25.09.1978
Sebastian Gazurek,18.06.1990
Per Andersson 1,21.08.1954
Manfred Deckert,31.03.1961
Ineta Kravale,20.04.1959
Luigi Colturi,17.03.1967
Young Chang,12.02.1934
Bjorn Nyland,08.10.1962
Chase Josey,31.03.1995
Markus Hasler,03.10.1971
Marie Luce Waldmeier,01.07.1960
Alberts Rumba,15.10.1892
Jean Pichette,19.07.1963
Carlo Gerosa,30.11.1964
Martin Koch 1,22.01.1982
Antonin Barton,12.12.1908
Dominic Demschar,19.05.1993
Shozo Okuyama,20.04.1939
Bernadette Zurbriggen,30.08.1956
Nancy Burley,08.03.1930
Rolf Nordgren,08.08.1946
Risto Kiiskinen,20.07.1956
Therry Brunner,06.09.1975
Mattias Hargin,07.10.1985
Masashi Abe,13.08.1965
Risto Mattila,04.02.1981
Mason Aguirre,10.11.1987
Saskia Santer,05.12.1977
In Chol Choi,19.01.1974
Mark Huck,02.08.1957
Paul Boehm,10.08.1974
Johnny Ruger,30.11.1948
Simoneta Racheva,01.03.1961
Olga Schuchkina,23.10.1980
Patrizia Medail,15.11.1945
John Mcinnes,07.07.1939
Roman Skorniakov,17.02.1976
Andreas Hurschler,14.09.1977
Florine Valdenaire,22.10.1982
Susan Broman,28.07.1959
Milena Kordez,10.09.1953
Michael Hall,04.01.1970
Alexis Blanc,24.11.1970
Lou Barin,26.01.1999
Vladimir Lobanov,26.12.1953
Anfisa Reztsova,16.12.1964
Gunther Gollner,21.06.1941
Lelde Gasuna,17.09.1990
Svetlana Vinogradova,21.08.1987
Ryan Heckman,07.03.1974
Kornel Pajor,01.07.1923
Andreas Heymann,26.12.1966
Adelia Marra,01.03.1979
Denny Morrison,08.09.1985
Erin Simmons,09.07.1976
Heidi Krings,30.03.1983
Misaki Oshigiri,29.09.1992
Christfried Burmeister,
Federico De Florian,09.06.1921
Masaki Suzuki,02.01.1945
Masayoshi Mitani,05.01.1938
Lyudmila Ivanova,02.12.1978
Christina Staudinger,23.02.1987
Chiharu Nozaki,12.05.1973
Tadashi Obara,15.05.1983
Jari Rasanen,28.01.1966
Andre Sehmisch,27.09.1964
Carolina Photiades,10.08.1970
Anders Gloeersen,22.05.1986
Shizuka Arakawa,29.12.1981
Jasmine Campbell,11.08.1991
Elina Kettunen,10.04.1981
Ivar Mobekk,15.09.1954
Markus Germann,09.05.1942
Christl Haas,19.09.1943
Marcelo Martinez,02.06.1960
Susan Dunklee,13.02.1986
Cameron Medhurst,10.05.1965
Yonathan Jesus Fernandez,14.04.1986
Heinrich Mehringer,23.02.1952
Andrej Buric,06.02.1989
Kim Ferran,11.01.1958
Heinrich Messner,01.09.1939
Chemmy Alcott,10.07.1982
Marguerite Leduc,31.10.1935
Walter Tresch,04.04.1948
Fabrizio Pedranzini,14.03.1954
Albino Alvera,01.03.1923
Josef Sabovcik,04.12.1963
Ludwig Kronfuss,16.07.1950
Ibon Idigoras,08.11.1979
Kyle Nissen,23.08.1979
Elizabeth Yarnold,31.10.1988
Birgit Platzer,14.10.1992
Jana Sisajova,01.02.1985
Paula Kann,01.02.1922
Paul Fentz,08.09.1992
Thomas Maloney Westgaard,10.10.1995
Lukasz Szczurek,01.04.1988
Danilo Pudgar,03.05.1952
Nadeem Iqbal,03.04.1983
Hiyo Chang Lee,15.09.1922
Lado Sencar,17.05.1908
Torkel Persson,21.06.1894
Marion Sage,
Elena Gayasova,10.05.1969
Gueorgui Varochkin,20.12.1932
Lilia Ludan,02.06.1969
Ola W Rhaug,24.12.1937
Satoshi Shinpo,26.10.1941
Heike Lange,31.10.1955
Sergej Cherviakov,12.01.1959
Marie Claude Doyon,22.04.1965
Willem Kos,08.02.1904
Julie Holmes,23.03.1951
Bernat Sola,05.09.1965
Jean Charles Mattei 1,08.01.1982
Charles Gilmore,27.01.1950
Sophie Villeneuve,06.11.1969
Carlos Adsera,06.03.1946
Antonia Mayr,08.09.1949
So Youn Park,24.10.1997
Cheltzie Lee,21.04.1993
Jean Philippe Leguellec,31.07.1985
Walter Hollmann,
Catrine Lavallee,24.11.1995
David Santee,22.07.1957
Luis Omedes Calonja,12.01.1938
Alexander Payer,12.09.1989
Frederic Covili,14.11.1975
Wolfgang Winkler,27.10.1940
Malcolm Hunter,23.05.1950
Nicholas Goepper,14.03.1994
Charlach Mackintosh,01.06.1935
Nathan Johnstone,09.02.1990
Roland Blaesi,29.01.1932
Vanessa Giunchi,07.06.1980
Jamyang Namgial,03.06.1985
Henna Raita,24.01.1975
Andrew Young,21.02.1992
Dieter Neuendorf,07.07.1940
Lukas Muellauer,03.07.1997
Elsa Einarsson,27.07.1941
So Hui Gim,19.08.1996
Hai Sung Kim,12.02.1966
Dave Versteeg,27.03.1976
Chris Jeffries,01.01.1978
Celia Bourgeois,09.06.1983
Zuzanna Smykala,10.01.1990
Mauricio Rotella,24.02.1970
Akira Takahashi,
Yan Wang Skiing,30.08.1974
Paal Gunnar Mikkelsplass,29.04.1961
Larissa Lazutina,01.06.1965
Sixten Isberg,08.02.1921
Qiang Wang 2,23.04.1993
Jurgen Wirth,20.06.1965
Anders Eide,07.03.1971
Roger S Kleivdal,13.03.1988
Enak Gavaggio,04.05.1976
Vyacheslav Vedenin,01.10.1941
Jaroslav Feistauer,12.05.1909
Masayoshi Kashiwagi,23.02.1949
Ivana Janeckova,08.03.1984
Viera Klimkova,11.08.1957
Lina Xia,26.10.1987
Ricardo Raschini,14.05.1967
Martten Kaldvee,30.04.1986
Fiamma Smith,23.04.1962
Toy Dorgan,24.12.1946
Luca De Aliprandini,01.09.1990
Vladimir Kovalev,02.02.1953
Liubov Nikitina,21.01.1999
Matthew Depeters,20.08.1987
Janice Lawler,25.11.1944
Dumitru Sulica,16.04.1921
Pompeo Fattor,14.12.1933
Beckie Scott,01.08.1974
Yoshitaka Hori,20.04.1933
Oldrich Teply,27.05.1942
Oleksii Krasovskyi,30.03.1994
Nicola Rodigari,07.11.1981
Roland Lessing,14.04.1978
Ryon Hui Han,20.07.1979
Einar Kristjansson,16.08.1934
Petr Barna,09.03.1966
Janine Flock,25.07.1989
Martin Feigenwinter,20.03.1970
Alexandre Mikhailov,06.11.1970
Michael Walter,12.03.1959
Lasse S Tre,10.03.1974
Samuel Costa,30.11.1992
Brigitte Obermoser,02.07.1976
Matti Nykanen,17.07.1963
Grete Kubitschek,30.11.1902
Johnny Garvin,02.07.1984
Jozefa Czerniawska,31.01.1937
Paula Halonen,22.08.1945
Nicolai Stene,25.05.1921
James Lynch,16.03.1948
Tea Palic,29.04.1991
Bong Za Kim,19.10.1943
Daniel Jansen,17.06.1965
Sandy Whitelaw,28.04.1930
Kurt Korner,13.05.1912
Min Heuk Kang,29.10.1981
Jan Matous,30.05.1961
Won Gi Nam,11.01.1963
Christopher Mazdzer,26.06.1988
Mi Ok Choi,13.10.1971
Victor Kronig,18.12.1933
Eunryung Sung,14.04.1992
Peter Runggaldier,29.12.1968
John Michael Hessel,06.12.1942
Tomoya Ishii,23.05.1989
James G Miller,10.11.1947
Vic Wild,23.08.1986
Thomas Armstrong Corcoran,16.11.1931
Olivia Bertrand,02.01.1989
Walter Hurschler,25.04.1949
Sigrid Wolf,14.02.1964
Atsushi Egawa,05.04.1966
Kaija Mustonen,04.08.1941
Michal Malak,25.08.1980
Yoshiyuki Shimizu,21.11.1969
Charles Thompson Ferries,10.06.1939
Bruno Piazzalunga,25.10.1944
Max Beck,13.01.1952
Shannon Rempel,26.11.1984
Maria Orlova,14.04.1988
Mira Golub,24.09.1975
Tommy Schmid,12.04.1988
Yevgeniya Sidorova,13.12.1930
Odd Lirhus,18.09.1956
Ramon Zenhaeusern,04.05.1992
Pia Wedege,16.05.1971
Jaime Errazuriz,03.08.1923
Nahum Orobitg,18.11.1971
Russell Kennedy,07.10.1991
Anna Rechnio,11.12.1977
Felix Belczyk,11.08.1961
Erin Hamlin,19.11.1986
Jerry Rice,03.10.1990
Ingeborg Nilsson,23.11.1924
Enni Rukajarvi,13.05.1990
Ueli Scheidegger,22.07.1938
Mateusz Sochowicz,28.02.1996
Evgeniy Belov,07.08.1990
Markus Eberle,02.02.1969
Abdullah Yilmaz,18.03.1961
Charles Kellogg,12.01.1940
Itaru Chimura,15.04.1975
Michel Thierry,29.08.1954
Sofia Prosvirnova,20.12.1997
Anne Flore Rey,02.02.1962
Georg Fluckinger,01.03.1955
Josee Chouinard,21.08.1969
Kyle Parrott,13.09.1985
Brent Mcmurtry,22.04.1986
Reka Tuss,17.07.1977
Katsutoshi Ohkubo,25.06.1942
Ruben Gonzalez,26.07.1962
Michelle Kelly,07.11.1974
Ute Wei,15.09.1961
Gunter Traub,13.03.1939
Karsten Albert,13.10.1968
Sergey Ilyushchenko,31.01.1980
Valentina Stenina,29.12.1934
Raimo Ylipulli,13.06.1970
Kristian Brenden,12.06.1976
Kathleen Ann Roberts,17.11.1951
Kwang Jin Kim,10.06.1995
Zeke Steggall,09.07.1971
Torbjorn Yggeseth,18.06.1934
Eric Claudon,10.07.1961
Csaba Burjan,27.09.1994
Diana Sartor,23.11.1970
Ernst Good,14.01.1950
Wim De Deyne,12.12.1977
Yukihiro Mitani,22.04.1966
Mariya Vasiltsova,22.06.1995
Alexandru Barbu,08.03.1987
Josef Samek,06.11.1957
Julia Ford,30.03.1990
Michalina Maciuszek,16.09.1963
Ake Seyffarth,15.12.1919
Kaja Verdnik,23.02.1999
Cendrine Browne,08.09.1993
Tomas Carl Erik Johansson,09.03.1979
Conor Lyne,24.02.1993
Mario Fuchs,09.08.1976
Jonathan Owen,13.12.1963
Albert Irwin,01.10.1917
Christophe Ple,29.04.1966
Wilhelm Denifl,10.11.1980
Christian De Lorenzi,18.02.1981
Adam Rosen 1,12.04.1984
Xuefei Jin,25.06.1964
Urska Rabic,20.03.1985
Kim Clifford,16.10.1956
Serguei Margatski,13.12.1965
Arni Thor Arnason,15.01.1961
Agnes Litter,08.08.1975
Lars Goran Halvarsson,23.04.1961
Fuyuko Suzuki,13.01.1989
Jana Fischer,08.05.1999
Giorgio Paganin,24.04.1962
Jin Euk Jung,09.10.1978
Helen Boughton,15.01.1906
Armin Bittner,28.11.1964
Margaret Robb,17.06.1942
Zbynek Krompolc,29.05.1978
Josef Malinsky,20.07.1953
Mila Kajas,30.01.1972
Karen Stemmle,27.01.1964
Lubos Jira,30.08.1968
Cristian Zorzi,14.08.1972
Miha Rihtar,04.03.1981
Ago Markvardt,11.08.1969
Erika Hess,06.03.1962
Olena Yunchik,09.09.1982
Gerd He Ler,13.09.1948
Christian Dumont,19.04.1963
Hiromi Ozawa,18.09.1961
Kip Carpenter,30.04.1979
Karin Kessow,08.01.1954
Pete Patterson,04.01.1957
Waldemar Heigenhauser,24.05.1939
Natalia Martinova,19.11.1970
Per Rollum,03.12.1928
Hakon Mjoen,05.11.1944
Lefteris Fafalis,17.02.1976
Domu Narita,22.09.1985
Einar Ostby,17.09.1935
Becky Wilczak,05.08.1980
Peter Kristaly,15.10.1967
Miroslav Slusny,31.05.1964
Friederike Matejka,07.03.1943
William Tai,30.03.1997
Sergei Berestovskiy,01.01.1986
Shuji Kobayashi,17.04.1939
Isabelle Mir,02.03.1949
Catriona Lemay Doan,23.12.1970
Andreas Kofler,17.05.1984
Caitlin Patterson,30.01.1990
Olesja Alieva,17.08.1977
Roxanne Dufter,13.02.1992
Cyril Gaillard,20.01.1986
Alla Shabanova,25.10.1982
Nadzeya Pisareva,05.07.1988
Hanul Kim,11.04.2002
Lucas Makowsky,30.05.1987
Graham Bell,04.01.1966
Josl Gstrein,31.12.1917
Sergey Klevchenya,21.01.1971
Anna Carin Olofsson,01.04.1973
Tore Gullen,11.06.1959
Kun Shung Chang,08.06.1961
Luis Sanchez,12.12.1940
Julie Parisien,02.08.1971
Wilhelmine Bluml,17.05.1920
Seba Johnson,01.05.1973
Eirik Brandsdal,11.11.1986
Wayne Henderson,28.06.1944
Gerhard Nenning,29.09.1940
Brian Joubert,20.09.1984
Spela Pretnar,05.03.1973
Hans Rudhart,17.09.1945
Ann Kristin Aafedt Flatland,06.11.1982
Jun Dai,29.03.1966
Benik Amirian,30.11.1929
Audrey Robichaud,05.05.1988
Philippe Laroche,12.12.1966
Anastasia Oberstolz Antonova,12.10.1981
Vladimir Novak,28.02.1904
Michal Brezina,30.03.1990
Heinz Kluge,21.05.1938
Anton Sailer,17.11.1935
Markus Keller 1,06.12.1982
Klara Moravcova,19.03.1983
Gyorgy Martos,15.10.1973
Agnes Gosselin,21.11.1967
Remi Santiago,10.12.1980
Ivan Olivari,28.01.1987
Hassam Lahmaoui,30.11.1946
Yoko Fukazawa,10.08.1968
Peter Gruetter,30.06.1942
Alexei Parfenkov,13.09.1967
Xin Zhao,31.12.1992
Toivo Salonen,21.05.1933
Chantal Bournissen,06.04.1967
Matthias Jacob,02.04.1960
Toralf Engan,01.10.1936
David Edgar Rees,29.12.1940
Frank Masley,30.06.1960
Yoon Bae Park,23.09.1979
Kristiina Wegelius,12.10.1960
Andrea Giovannini,27.08.1993
Sami Leinonen,30.09.1963
Han Soon Ri,17.12.1945
Seppo Hanninen,11.07.1943
Josiah Wells,18.05.1990
Antti Tyrvainen,15.11.1933
Signe Trosten,30.03.1970
Filip Zubcic,27.01.1993
Dieter Linneberg,04.08.1965
Scott Davis,
Sonja Mccaskie,19.02.1939
Vicki Holland,11.09.1962
Bernhard Russi,20.08.1948
Svetlana Deshevykh,30.11.1970
Giovanni Astegiano,26.11.1940
Yum Jie Wang,29.07.1950
Vincent Kriechmayr,01.10.1991
Julia Sebestyen,14.05.1981
Daniel Bohnacker,21.02.1990
Trevor Andrew,31.08.1979
Dmytro Pidruchnyi,05.11.1991
Per Kristian Hunder,28.04.1989
Byung Sik Hong,15.10.1969
Jhonatan Longhi,02.02.1988
Teemu Summanen,14.11.1975
Sigurdur Jonsson,27.03.1958
Kathryn Thomson,26.01.1996
Jozef Skvarek,
Zurab Djidjishvili,23.09.1973
Kirsten Clark,23.04.1977
Trude Gimle,02.12.1974
Urs Raber,28.11.1958
Mikhail Rajine,29.09.1984
Ondrej Berndt,29.09.1988
Yvonne Nauta,21.02.1991
Roman Schaad,30.07.1993
Stefan Dotzler,10.12.1960
Renee Colliard,24.12.1933
Rene Schofisch,03.02.1962
Clarence Servold,28.03.1927
Manuel Aramayo,24.12.1955
Halldor Skard,11.04.1973
Inge Senoner,21.02.1940
Sugar Todd,19.07.1990
Eva Huckova,18.11.1986
Erle Reiter,29.12.1916
Natalia Sverchkova,06.06.1974
Lauren Cholewinski,15.11.1988
Lydia Lassila,17.01.1982
Gustav Berauer,05.11.1912
Diego Margozzini,15.04.1970
Andrea Fischbacher,14.10.1985
Bojan Kosic,14.12.1990
Madeleine Front,22.04.1930
William Logan,15.03.1907
Curt Schreiner,09.03.1967
Sergei Tchepikov,30.01.1967
Herbert Wachter,04.05.1940
Alevtina Olyunina,15.08.1942
Steffi Hanzlik,30.12.1975
Nick Thometz,16.09.1963
Otakar Nemecky,02.03.1902
Louise Weigel,26.08.1912
Ayumu Hirano,29.11.1998
Sverre Rotevatn,17.01.1977
Sebastian Beltrame,04.05.1982
Paul Ottar Satre,09.11.1908
James Madden,13.12.1909
Tomas Hasilla,23.08.1990
Rodica Dragus,28.10.1964
Michael Huth,02.09.1969
Lars Myhre,17.08.1984
Minna Hesso,15.03.1976
Jana Mrazkova,20.03.1940
Imanol Rojo,30.11.1990
Christa Hintermaier,30.01.1946
Alida Elisabeth Stoppelmann,03.07.1933
Ersin Ayriksa,27.11.1956
Ted Piccard,30.11.1978
Lawton Redman,14.06.1976
Marlies Schild,31.05.1981
Eva Hakova,08.07.1969
Ingrid Landmark Tandrevold,23.09.1996
Jiri Holubec,03.03.1966
Minoru Nagata,
Arlette Grosso,07.03.1937
Barbel Martin,10.11.1940
Darren Derochie,01.01.1966
